verified,description,protected,url,public_metrics,created_at,location,profile_image_url,pinned_tweet_id,name,id,username
False,"rise up

🍺❤",False,,"{'followers_count': 139, 'following_count': 139, 'tweet_count': 5008, 'listed_count': 0}",2018-10-11T15:14:48.000Z,"Villena, España",https://pbs.twimg.com/profile_images/1496980993235947523/_p-FY-P-_normal.jpg,1240323626072780800,Magui 🔥,1050404354887507969,Marianavarrogu1
False,"Creemos en el plan de Fernando y de Ferrari.
F1 por encima de de todo.",False,,"{'followers_count': 50, 'following_count': 154, 'tweet_count': 488, 'listed_count': 0}",2022-03-25T21:45:38.000Z,,https://pbs.twimg.com/profile_images/1509163625528844297/9AiAyjlD_normal.jpg,,FenronF1,1507473751033757701,FenronF1
False,👉👈,False,,"{'followers_count': 120, 'following_count': 264, 'tweet_count': 15561, 'listed_count': 0}",2020-03-17T11:05:16.000Z,,https://pbs.twimg.com/profile_images/1514655387454255105/jBa8Nx9r_normal.jpg,1468361239868940288,🍸,1239870359807156225,lucxjk
False,"historiadora, aunque eso no significa que no la vaya a seguir cagando",False,https://t.co/pTTcXQZXUA,"{'followers_count': 859, 'following_count': 523, 'tweet_count': 40944, 'listed_count': 0}",2012-07-18T14:12:59.000Z,"Salamanca, España",https://pbs.twimg.com/profile_images/1382615583439663108/W-1SfH1j_normal.jpg,1272487052622344193,Ale 🌼,703133095,Alejandra19_98
False,,False,,"{'followers_count': 84, 'following_count': 452, 'tweet_count': 19505, 'listed_count': 6}",2016-04-14T17:45:07.000Z,,https://pbs.twimg.com/profile_images/720671091220488195/IqotIkxv_normal.jpg,,Fran,720669223211679744,francescoluigi_
False,sono fuori di cazzo ma diversa dal cazzo,False,,"{'followers_count': 4303, 'following_count': 1281, 'tweet_count': 37787, 'listed_count': 2}",2011-12-17T22:16:46.000Z,she/her,https://pbs.twimg.com/profile_images/1388201927247282177/8zeDsUTB_normal.jpg,1373785571215224834,laura,439532149,resistitini
False,Solo mensajes privados a través de Bizum.,False,,"{'followers_count': 128, 'following_count': 829, 'tweet_count': 27791, 'listed_count': 5}",2011-04-20T22:56:18.000Z,,https://pbs.twimg.com/profile_images/1452728950166278149/jpYEN3XZ_normal.jpg,950404032920727554,VicCsMy,285313696,VicCsMy
False,,False,,"{'followers_count': 200, 'following_count': 185, 'tweet_count': 30507, 'listed_count': 0}",2009-04-21T12:55:08.000Z,"Neuschottland, Kanada",https://pbs.twimg.com/profile_images/950133275116281856/v2OpN3Lw_normal.jpg,,Sharon🇨🇦🇺🇦,33893183,davissj
False,"In lutto per killing eve     //      
Fino alla fine 🤍🖤",False,,"{'followers_count': 20, 'following_count': 134, 'tweet_count': 271, 'listed_count': 0}",2021-10-04T18:59:39.000Z,,https://pbs.twimg.com/profile_images/1513266090314506252/3vtre1i2_normal.jpg,1509144215489585156,Serendipity 🐠,1445100968438374402,DarkAngel8190
False,"Soy anticomunista , lucho por ver a mi país libre 🇨🇺",False,,"{'followers_count': 55, 'following_count': 177, 'tweet_count': 1579, 'listed_count': 0}",2021-04-14T13:01:04.000Z,Belgien,https://pbs.twimg.com/profile_images/1382318550484987911/_HKAVjjH_normal.jpg,,Ariadna Sierra Herrera,1382317901412188162,AriadnaSierraH1
False,Presidente di EDOniamosperanza ONLUS (https://t.co/u6MRw5ITQ3) e automotive blogger a tempo perso su https://t.co/PLWeyqyvOR,False,,"{'followers_count': 159, 'following_count': 495, 'tweet_count': 16168, 'listed_count': 14}",2011-11-18T13:32:37.000Z,"Lissone (MB), Italy",https://pbs.twimg.com/profile_images/1234220894438010880/TAcjygKj_normal.jpg,,Mattia Mauri,415537671,MattiaMauri
False,:),False,https://t.co/tGmDEPvQ5Y,"{'followers_count': 122, 'following_count': 153, 'tweet_count': 3615, 'listed_count': 0}",2020-06-02T08:33:24.000Z,,https://pbs.twimg.com/profile_images/1425586874899443718/Zflvl7PE_normal.jpg,1445133411652415492,piluuuu🦋✨,1267736026564497410,ittspiluu
False,he/she | rich witch bitch,False,,"{'followers_count': 1240, 'following_count': 444, 'tweet_count': 28687, 'listed_count': 1}",2019-03-28T22:11:11.000Z,,https://pbs.twimg.com/profile_images/1495789282308591624/GyhP5zuV_normal.jpg,1408434985837678598,stella witch ᱬ,1111390302353399808,stellanticops
False,"Narrador de Creacions Enigmàtiques y ALC Stronghold. Feminismo transinclusivo, antiracismo, antifascismo y frikismo rolero son importantes para mí.",False,https://t.co/YKB3oitZ39,"{'followers_count': 415, 'following_count': 459, 'tweet_count': 21691, 'listed_count': 4}",2010-09-26T14:23:25.000Z,Gondor  ,https://pbs.twimg.com/profile_images/1504921590328434697/_4vtwugM_normal.jpg,,Carles M. He/Him.,195362875,Farsants
False,"I don’t know what to say
I guess I draw",False,,"{'followers_count': 50, 'following_count': 121, 'tweet_count': 1337, 'listed_count': 2}",2020-06-01T06:49:45.000Z,Hell,https://pbs.twimg.com/profile_images/1471597954154831877/JhIgkDAe_normal.jpg,1439625547232038913,Pome(・・?)🇫🇮💙💛,1267347539453448197,pomekka
False,"Solo sé, que no se nada. Y el que nada sabe, nada se le supone. Y una vez quise ir, pero nunca llegué a llegar. Francamente, me repugna ser franco en este país.",False,,"{'followers_count': 51, 'following_count': 152, 'tweet_count': 15563, 'listed_count': 1}",2019-08-23T11:39:32.000Z,,https://pbs.twimg.com/profile_images/1164866371332845569/viagI4yD_normal.jpg,,RqueR,1164864665870065666,RqueR8
False,#standwithukraine,False,,"{'followers_count': 290, 'following_count': 334, 'tweet_count': 23064, 'listed_count': 9}",2018-07-23T10:57:10.000Z,they,https://pbs.twimg.com/profile_images/1525010897168744449/WOJbBOVj_normal.jpg,1445908591353999366,mono,1021348490985820161,mxnxceros
