id,profile_image_url,url,public_metrics,username,protected,name,description,created_at,location,verified,pinned_tweet_id
863461647201038300,https://pbs.twimg.com/profile_images/864149986136731649/7asc5mhA_normal.jpg,,"{'followers_count': 39, 'following_count': 1, 'tweet_count': 6555, 'listed_count': 2}",RetailDesignHH,False,Retail Design,,2017-05-13T18:31:13.000Z,"Hamburg, Deutschland",False,
1144641593800036400,https://pbs.twimg.com/profile_images/1144651912484196354/0reaYdRv_normal.png,,"{'followers_count': 86, 'following_count': 274, 'tweet_count': 5297, 'listed_count': 0}",BoodeVon,False,Helmut von boode,there can only be one God therefore your  God Is my God,2019-06-28T16:19:57.000Z,"Hamburg, Germany",False,
1380518151453094000,https://pbs.twimg.com/profile_images/1514683352770613255/kukPENUA_normal.jpg,,"{'followers_count': 2, 'following_count': 5, 'tweet_count': 37, 'listed_count': 0}",8_Acht_,False,8,🥇⚽️,2021-04-09T13:49:23.000Z,,False,
1437032397703364600,https://pbs.twimg.com/profile_images/1437816675475337227/eh8qGMSA_normal.jpg,https://t.co/Hwrado34mU,"{'followers_count': 72, 'following_count': 19, 'tweet_count': 68, 'listed_count': 0}",skyrden,False,Skyrden,Velkommen til Skyrden - fly better. Skyrden is a Scandinavian airline on the ROBLOX platform. Feel free to join our group. Link below!,2021-09-12T12:36:44.000Z,,False,1.4821112877273825e+18
2408763599,https://pbs.twimg.com/profile_images/1461754041474727936/wguMUah6_normal.jpg,,"{'followers_count': 1992, 'following_count': 4177, 'tweet_count': 31831, 'listed_count': 70}",ZaunerMargrit,False,Margrit Zauner,"Eine Österreicherin in Berlin rein privat #Feministin #WeiberWirtschaft  #ALBBW #TempelhofSchöneberg #Arbeitspolitik 
Kann Spuren von Monarchie enthalten",2014-03-13T23:17:27.000Z,Berlin Tempelhof,False,
264210776,https://pbs.twimg.com/profile_images/1085488775428538368/X32TMbKi_normal.jpg,https://t.co/Nk0Qkjg3RU,"{'followers_count': 2849, 'following_count': 1392, 'tweet_count': 9797, 'listed_count': 106}",meyerar,False,Arne MeyerFünffinger,Bin Journalist. Lebenslang Grün-Weiß. / Threema U9AKTXBR / m5finger@protonmail.com / ???-Fans bitte hier entlang 👉@BeachHomepage / https://t.co/i1ZuCE2jti,2011-03-11T14:41:25.000Z,"Berlin, Deutschland",True,
1075034762098737200,https://pbs.twimg.com/profile_images/1075044087751954435/fp24Aqvo_normal.jpg,https://t.co/kJeAupuUuC,"{'followers_count': 5214, 'following_count': 29, 'tweet_count': 79697, 'listed_count': 60}",DBRegio_SH,False,DB Regio Schleswig-Holstein,Aktuelle Verkehrsmeldungen der DB Regio Schleswig-Holstein. #RegioSH   Impressum:https://t.co/koCoO5WNc5           Datenschutz:https://t.co/yLuh28Kb9l,2018-12-18T14:27:15.000Z,"Kiel, Schleswig-Holstein",True,1.5053244979221422e+18
1283433014719062000,https://pbs.twimg.com/profile_images/1283774298142973953/9C3Yu1hO_normal.jpg,https://t.co/19w66hTn0p,"{'followers_count': 59, 'following_count': 302, 'tweet_count': 358, 'listed_count': 2}",The_Soccer_Goal,False,TheSoccerGoal.com,"Kid writer for https://t.co/9WWdeX8j4s, where I focus on the beautiful game.",2020-07-15T16:07:53.000Z,,False,1.5255860041989489e+18
4876076194,https://pbs.twimg.com/profile_images/1493126168442249217/uS6pEQug_normal.jpg,https://t.co/4FwRcJZ9MP,"{'followers_count': 19790, 'following_count': 131, 'tweet_count': 3860, 'listed_count': 211}",bpol_kueste,False,Bundespolizei Küste,"Wir twittern für Mecklenburg-Vorpommern, Schleswig-Holstein, Nord-& Ostsee. Kein 24/7-Monitoring. Keine Anzeigen! Notruf 110 https://t.co/LVLfTzNcFo",2016-02-04T10:19:38.000Z,"Bad Bramstedt, Deutschland",True,
3329248558,https://pbs.twimg.com/profile_images/1519570454553538560/mvR3D6sf_normal.jpg,,"{'followers_count': 7, 'following_count': 29, 'tweet_count': 48, 'listed_count': 0}",suleikavz,False,Suleika van Zweeden,,2015-06-16T10:48:58.000Z,,False,
379885380,https://pbs.twimg.com/profile_images/1576867999/Dr.Detly_normal.jpg,,"{'followers_count': 259, 'following_count': 358, 'tweet_count': 31638, 'listed_count': 16}",DrDetly,False,DrDetly,"Also ich wollte sagen, dass etwa zu dieser Zeit die Verwirrung durch die ähm... und die Verwirrung wird all jene verwirren, die nicht wissen.",2011-09-25T18:35:32.000Z,*Das Leben des Brian*,False,5.772055316156211e+17
978198891454705700,https://pbs.twimg.com/profile_images/1330859024103911427/chkEn9zi_normal.jpg,,"{'followers_count': 831, 'following_count': 30, 'tweet_count': 25780, 'listed_count': 22}",TAG24HH,False,TAG24 NEWS Hamburg,News aus Hamburg❤️ Live von TAG24. 🚀 Aktuell haben wir 10 Redaktionen in Deutschland mit über 10 Millionen Lesern im Monat. Impressum: https://t.co/9Q98G8nQLm,2018-03-26T09:16:04.000Z,"Hamburg, Deutschland",False,
44858173,https://pbs.twimg.com/profile_images/446571949737533440/MGLM59r-_normal.png,http://t.co/BFP06SUcw4,"{'followers_count': 11261, 'following_count': 307, 'tweet_count': 5715, 'listed_count': 309}",stern_reise,False,stern Reise,In 140 Zeichen um die Welt mit https://t.co/gqVNlaHyLm. Bei Fragen zum Datenschutz bitte hier entlang: https://t.co/4iInPOq7nb,2009-06-05T09:35:16.000Z,Hamburg,True,
1504986509287559200,https://pbs.twimg.com/profile_images/1504990985104900105/5Y4H15Bt_normal.jpg,,"{'followers_count': 12, 'following_count': 54, 'tweet_count': 22, 'listed_count': 0}",escowill0322,False,Will Esco,"Not a tipster|Doing it for fun|Based on stats|Money used for betting should not be the one required for your daily living|Be kind, have fun and give back!!",2022-03-19T01:03:02.000Z,,False,1.5204435162703544e+18
709599642,https://pbs.twimg.com/profile_images/662666951630700544/vaHPo9YY_normal.png,https://t.co/FPsnyyXjQh,"{'followers_count': 998, 'following_count': 647, 'tweet_count': 12818, 'listed_count': 61}",bykuchel,False,Matthias,"Creative Producer & Regisseur für Werbung, PR und Social Media // Fokus: Corporate, Sport, Automobile und Lifestyle. // Der Blick hinter meine Kulissen",2012-07-21T21:27:02.000Z,Hamburg,False,8.445820332382167e+17
1136158699536494600,https://pbs.twimg.com/profile_images/1489865223313969156/ZNDdx5Xk_normal.jpg,,"{'followers_count': 67, 'following_count': 724, 'tweet_count': 941, 'listed_count': 0}",khnem76,False,knm76,"🇩🇪🇱🇺
#bochumerjunge 💙 in #Lëtzebuerg 🦁, #hiking 🗻, #barefoot 👣, #Groundhopping ⚽️, #Baseball ⚾️#Untappd 🍺, #Playstation 🎮",2019-06-05T06:31:57.000Z,Luxemburg,False,
733179058134089700,https://pbs.twimg.com/profile_images/1408352257767362560/vKm7Vk95_normal.jpg,https://t.co/RQsRrpKjlr,"{'followers_count': 6384, 'following_count': 395, 'tweet_count': 1391, 'listed_count': 113}",AndyGrote,False,Andy Grote,Hier twittern der Innen- und Sportsenator und sein Team (*ds).,2016-05-19T06:14:44.000Z,"Hamburg, Deutschland",True,
1186961740682137600,https://pbs.twimg.com/profile_images/1515691176887791620/jLG2LyBs_normal.jpg,,"{'followers_count': 294, 'following_count': 2485, 'tweet_count': 3306, 'listed_count': 0}",myloveqoute,False,ℒea♡,Lovepoems & Quotes ♡... tausendundeingedanke...♡,2019-10-23T11:05:24.000Z,"♡Hamburg, Germany",False,1.2489158440815534e+18
912617873729740800,https://pbs.twimg.com/profile_images/1250834999395270658/tmB1sf7E_normal.jpg,,"{'followers_count': 32, 'following_count': 43, 'tweet_count': 199, 'listed_count': 0}",alex_staats2,False,Alex Staats,,2017-09-26T10:00:31.000Z,"Sydney, New South Wales",False,
788024694,https://pbs.twimg.com/profile_images/1045395927794700289/hEK41-xn_normal.jpg,,"{'followers_count': 130, 'following_count': 557, 'tweet_count': 993, 'listed_count': 3}",tobinho1899,False,P. Javles 💚⚽️1899⚓️💚,Mitglied beim @werderbremen  seit 2010 💚🤍,2012-08-28T22:51:17.000Z,"Bremen, Deutschland",False,
1275758914638942200,https://pbs.twimg.com/profile_images/1326290521896210434/KLuXwf8m_normal.jpg,,"{'followers_count': 1380, 'following_count': 730, 'tweet_count': 23513, 'listed_count': 4}",bata1907,False,🇹🇷🇹🇷Banu C .E.,Sevgi,2020-06-24T11:54:05.000Z,,False,1.5192551756886057e+18
20907792,https://pbs.twimg.com/profile_images/1258492841/garthreebook_normal.jpeg,,"{'followers_count': 1059, 'following_count': 4995, 'tweet_count': 7900, 'listed_count': 5}",Garth_Algar,False,Knud,wohnt mit einen gemäßigten sozialdemokratischen Koalabären zusammen... und unterstützt einen reinen #WLTVRN ⚽️🏈🏀,2009-02-15T12:46:18.000Z,"Hamburg, Germany",False,1.4987337125776343e+18
952583318385627100,https://pbs.twimg.com/profile_images/952596934912630784/cY3dKUZq_normal.jpg,,"{'followers_count': 1798, 'following_count': 1109, 'tweet_count': 70001, 'listed_count': 10}",christian_joost,False,Christian Joost,Wohnt in Hamburg  Tonndorf und ist Fan vom FCB ja ich weiß Shocking .,2018-01-14T16:48:56.000Z,"Tonndorf, Hamburg",False,
580863466,https://pbs.twimg.com/profile_images/1168966906637946885/j_Dy1KlJ_normal.jpg,,"{'followers_count': 315, 'following_count': 674, 'tweet_count': 7169, 'listed_count': 14}",lefthand_69,False,Mr. Lefthand69 #ArmUkraineNow 🇺🇦,,2012-05-15T12:50:21.000Z,Germany 🇩🇪 / 🇫🇷,False,
1525848213982531600,https://pbs.twimg.com/profile_images/1525856766222819332/ckYzFTAn_normal.jpg,,"{'followers_count': 0, 'following_count': 1, 'tweet_count': 5, 'listed_count': 0}",TinoEberl,False,Tino Eberl,Dieser Cloud-Backup-Speicherplatz für https://t.co/2KJOERbDXv wurde freundlicherweise kostenlos zur Verfügung gestellt von Elon Musk. :),2022-05-15T14:42:55.000Z,,False,
1507108802323263500,https://pbs.twimg.com/profile_images/1507259937017188353/E1ig2UGm_normal.png,,"{'followers_count': 298, 'following_count': 27, 'tweet_count': 1571, 'listed_count': 0}",1FutbolBey,False,Futbol Bey ⚽,"Anlık goller, videolar, haberler.

                                                                          📩 futbolbey@hotmail.com",2022-03-24T21:35:24.000Z,,False,1.5255159304864154e+18
1505220162714325000,https://pbs.twimg.com/profile_images/1519441602665758723/wrI9f9z1_normal.jpg,https://t.co/unGpRRg5yI,"{'followers_count': 85, 'following_count': 460, 'tweet_count': 117, 'listed_count': 0}",thetfcgoat,False,thetfcgoat,"20-Year old from Germany,Football and TFC is what I love⚽️ Don‘t know which players to lineup? I‘ll show you here 🙏.",2022-03-19T16:30:45.000Z,,False,
893889820430389200,https://pbs.twimg.com/profile_images/1520686112355897345/f6FQJv-K_normal.jpg,https://t.co/ck8eBlMYxm,"{'followers_count': 443, 'following_count': 1255, 'tweet_count': 53363, 'listed_count': 18}",Jani2205,False,💕Jani & Finchen 💕🏡😷🔴🔴🔴💉💉,"Frauchen von Finchen 🐾🙋🏼‍♀️

hey, ich bin das Bernermädchen Finchen 🐾 geb. 18.08.2017 🐾freu mich auf die gemeinsame Twitter Zeit 💕🐾",2017-08-05T17:41:55.000Z,bei meinen Frauchen 😍,False,9.01855614300717e+17
4535909415,https://pbs.twimg.com/profile_images/1273233008678625282/Z3O-nRug_normal.jpg,https://t.co/j0ndb3aBu3,"{'followers_count': 4195, 'following_count': 1992, 'tweet_count': 8765, 'listed_count': 59}",grundrechte1,False,Grundrechtekomitee,"Aktiv, streitbar, couragiert und – wenn menschenrechtlich geboten – zivil ungehorsam engagiert sich das Komitee für Grundrechte und Demokratie",2015-12-19T13:50:48.000Z,"Köln, Deutschland",False,1.5054557644245975e+18
117057190,https://pbs.twimg.com/profile_images/916250177262022656/CTWyU_G6_normal.jpg,http://t.co/UbxFfPKxDq,"{'followers_count': 40945, 'following_count': 840, 'tweet_count': 99705, 'listed_count': 425}",BILD_Hamburg,False,BILD Hamburg,"Hamburg aktuell: News, Sport, Kultur, Politik, Ausstellungen, Events. Impressum: https://t.co/QmyG5OkSeF Datenschutzerklärung: https://t.co/P9NlgE2vSB",2010-02-24T11:54:19.000Z,Hamburg,True,
51865144,https://pbs.twimg.com/profile_images/1502746628318384130/Jz7_RRXY_normal.jpg,,"{'followers_count': 345, 'following_count': 616, 'tweet_count': 18250, 'listed_count': 0}",Karpatos,False,Pato Giordano,Docente en @ean_argentina | Hincha fanatico de @riverplate (El mas grande) ♥ | Agrupacion RiverMundial,2009-06-28T22:25:27.000Z,Buenos Aires,False,1.1344654116118651e+18
1487091448357040000,https://pbs.twimg.com/profile_images/1487091561146068999/zDMTh-5n_normal.jpg,,"{'followers_count': 0, 'following_count': 1, 'tweet_count': 117, 'listed_count': 0}",welt_simons,False,Simons kritische Welt,,2022-01-28T15:53:51.000Z,,False,
4074176415,https://pbs.twimg.com/profile_images/1217186456906629121/gFhkeH5G_normal.jpg,https://t.co/ndDV1hW0j1,"{'followers_count': 4897, 'following_count': 50, 'tweet_count': 6419, 'listed_count': 80}",ADFC_Hamburg,False,ADFC Hamburg,"Wir lieben #Radfahren und kämpfen mit euch für #Verkehrswende, #Tempo30 und #MehrPlatzFürsRad. #rad #hamburg kontakt@hamburg.adfc.de | https://t.co/5GYLVmuXeP",2015-10-30T09:34:52.000Z,"Hamburg, Deutschland",True,1.4358829587836477e+18
1115378272953675800,https://pbs.twimg.com/profile_images/1502123520016457730/dGgPQnqx_normal.jpg,,"{'followers_count': 644, 'following_count': 1079, 'tweet_count': 7793, 'listed_count': 0}",_zerosixneuf,False,MSGE🦅🦅,BEŞIKTAŞ x EINTRACHT FRANKFURT | 12 gegen 11 🦅 ⚽️ | BROOKLYN NETS 🏀 #NetsLevel |,2019-04-08T22:17:57.000Z,Frankfurt am Main ,False,1.4250084438832456e+18
1367156053108998100,https://pbs.twimg.com/profile_images/1468851720147116032/uBCZUmS9_normal.jpg,https://t.co/OpLynwwoMv,"{'followers_count': 304, 'following_count': 1, 'tweet_count': 5642, 'listed_count': 1}",start_NI_mitte,False,Start Niedersachsen Mitte,"Offizieller Verkehrsmeldungskanal der Start Niedersachsen Mitte.

Impressum: https://t.co/FPsFUk2TtO
Datenschutz: https://t.co/L5bFliSMsm",2021-03-03T16:53:43.000Z,,False,1.5200097388718449e+18
1302365062963888000,https://pbs.twimg.com/profile_images/1307033543378436096/6c1dx6t6_normal.jpg,,"{'followers_count': 19, 'following_count': 104, 'tweet_count': 385, 'listed_count': 0}",Cycle38579777,False,Cycle,Dipl. Ing. für Wasserwirtschaft. Cycle = Kreislauf(wirtschaft) und Fahrradfahren. Sachlich für Klimaschutz. 🌍,2020-09-05T21:56:55.000Z,"Dresden, Sachsen",False,
116857257,https://pbs.twimg.com/profile_images/449270472568762368/wJuoq6BI_normal.jpeg,,"{'followers_count': 107, 'following_count': 233, 'tweet_count': 1914, 'listed_count': 5}",mcpomhh,False,Tobias Joneit | HH,"Dad * Lobbyist * Agilist: Software Development, New Work, Parenthood, Handicapped Children...
#Fediverse: https://t.co/fR70JQ3iKV",2010-02-23T19:59:18.000Z,Hamburg,False,
52840792,https://pbs.twimg.com/profile_images/988073055405690880/izPmaWpI_normal.jpg,https://t.co/Fv4zf1V9pR,"{'followers_count': 1096, 'following_count': 1924, 'tweet_count': 36285, 'listed_count': 52}",DrWetti,False,Dr. Jörg Wetterau,"Soylent Green is people! 
Wird dieser Satz jemals Wirklichkeit? Wer weiß. Vielleicht!?",2009-07-01T20:29:20.000Z,"Germany, Hessen, Gelnhausen",False,
225034030,https://pbs.twimg.com/profile_images/1407816236885544961/guIfoQuh_normal.jpg,https://t.co/eBUhzbzGor,"{'followers_count': 10339, 'following_count': 234, 'tweet_count': 10973, 'listed_count': 174}",NahverkehrHH,False,NAHVERKEHR HAMBURG,"Wir machen unabhängigen Journalismus über nachhaltige Mobilität in Hamburg. 
100% werbefrei 
100% leserInnenfinanziert 
100% Hamburg und Umland",2010-12-10T14:08:03.000Z,Hamburg,False,1.330417179762815e+18
1495493456210366500,https://pbs.twimg.com/profile_images/1520830420715282432/bnQgKdPP_normal.jpg,,"{'followers_count': 112, 'following_count': 273, 'tweet_count': 980, 'listed_count': 0}",SGE_ZN,False,zone,EuropaLeague Sieger 2022 🦅 | @eintracht Mitglied | @vega636👑 | #Barkok  👑,2022-02-20T20:20:11.000Z,,False,1.5223247329301463e+18
