description,id,protected,url,public_metrics,verified,pinned_tweet_id,username,location,name,profile_image_url,created_at,withheld
"💙 Whisky
💛 Outlander                                                  
                 
        💜Peaker #MPC21 #MPC2
        ❤Scotland 
💚Paris",1379526403578806280,False,,"{'followers_count': 495, 'following_count': 415, 'tweet_count': 7730, 'listed_count': 1}",False,1.5356523525894554e+18,NoixdeCoco75,"Paris, France",Coco,https://pbs.twimg.com/profile_images/1535373406195032064/-6-etm5X_normal.jpg,2021-04-06T20:08:40.000Z,
Amoureux de Paname,875280010877296640,False,,"{'followers_count': 264827, 'following_count': 267776, 'tweet_count': 48619, 'listed_count': 385}",False,1.1583283379468083e+18,ParisAMDParis,"Paris, Montmartre ",Paname Paris,https://pbs.twimg.com/profile_images/1417776308533276672/ateDn7X-_normal.jpg,2017-06-15T09:13:11.000Z,
"Точно знаю, что я здесь делаю.",1519399318557532167,False,,"{'followers_count': 4, 'following_count': 39, 'tweet_count': 37, 'listed_count': 0}",False,,spbjohndoe,"Санкт-Петербург, Россия",Валерий Макаров,https://pbs.twimg.com/profile_images/1519401670270230529/3T1xWj2u_normal.jpg,2022-04-27T19:33:38.000Z,
Threads about #France 📸,1512584037369589761,False,,"{'followers_count': 327, 'following_count': 572, 'tweet_count': 55, 'listed_count': 1}",False,1.5358927166089462e+18,franceenphoto,Frankreich,La France en photos 🇨🇵,https://pbs.twimg.com/profile_images/1535537396296695817/yRV7ZX_7_normal.jpg,2022-04-09T00:13:01.000Z,
"Web radio basée à Bordeaux, ouverte à tous les musiciens qui souhaitent promouvoir leurs projets musicaux.
Il suffit de nous contacter.",1390289676695654401,False,https://t.co/ax0CazWVcH,"{'followers_count': 99, 'following_count': 213, 'tweet_count': 8627, 'listed_count': 0}",False,1.4940369656956232e+18,DoffouRadio,Bordeaux ,Doffou Radio Bordeaux,https://pbs.twimg.com/profile_images/1390294347007119360/ADSRgyrR_normal.jpg,2021-05-06T12:58:43.000Z,
traveling at the home country switzerland 🇨🇭and International around the world 🌎. look at my movies. youtube Channel: Bruder goes traveling,1506747906732310532,False,,"{'followers_count': 0, 'following_count': 6, 'tweet_count': 80, 'listed_count': 0}",False,,BruderReisen,,Bruder‘s Reisen,https://pbs.twimg.com/profile_images/1506748028211847180/wSJT-fHK_normal.jpg,2022-03-23T21:41:19.000Z,
"#CATMedia, #EclipseUOMo, @UnitAPI #JSR385, #JSR354 #SpecLead @JCP_org @AgileAlliance @W3C @EclipseFdn #DevOps #FF #IoT #ITSecurity #Java #JakartaEE #SmartData",50013926,False,https://t.co/8FvgzZar9a,"{'followers_count': 8242, 'following_count': 6220, 'tweet_count': 492861, 'listed_count': 488}",False,,wernerkeil,Europe,Werner Keil,https://pbs.twimg.com/profile_images/1434830401349033986/YEBiSpOV_normal.jpg,2009-06-23T15:55:46.000Z,
,1381658577031593987,False,,"{'followers_count': 87, 'following_count': 28, 'tweet_count': 1350, 'listed_count': 0}",False,1.5312442543784837e+18,leloupadmirer,,p,https://pbs.twimg.com/profile_images/1535193266991267841/xv9xPoa0_normal.jpg,2021-04-12T17:21:00.000Z,
Directors of Education with the Arthur Terry Learning Partnership (RTs not an endorsement),1062260872708530177,False,https://t.co/57TojNzob1,"{'followers_count': 384, 'following_count': 81, 'tweet_count': 3191, 'listed_count': 0}",False,,ATLP_DoE,"West Midlands, England",Directors of Education,https://pbs.twimg.com/profile_images/1062394450104729600/c89GQvPI_normal.jpg,2018-11-13T08:28:22.000Z,
"حساب paaet# مساعدة للطلاب الجامعيين لتقديم الطلبات و کوزات و لعمل تقاریر و واجبات للتواصل (خاص أو عبر الوتس في الرابط👇 )
https://t.co/FechAXwVZb",1412953469741408258,False,,"{'followers_count': 136, 'following_count': 3026, 'tweet_count': 182, 'listed_count': 0}",False,1.5318092148715192e+18,Mohamme24634354,Bahrain,محمد الزلزله للواجبات و الاختبارات🇰🇼🇧🇭🇸🇦,https://pbs.twimg.com/profile_images/1521180932845232129/plPveq21_normal.jpg,2021-07-08T01:55:45.000Z,
Neither a rotator nor a wordcel be,1491106070969741318,False,https://t.co/3r7Ku3ys47,"{'followers_count': 7, 'following_count': 181, 'tweet_count': 27, 'listed_count': 0}",False,1.5356945840718234e+18,ai_rawls,Somewhere in the aether,AI_John Rawls,https://pbs.twimg.com/profile_images/1535682544900853760/WEuHodCE_normal.jpg,2022-02-08T17:46:59.000Z,
/H46 : .V.\ #Kro_Leger /,778315363347992576,False,https://t.co/m6OAZvznkN,"{'followers_count': 4, 'following_count': 81, 'tweet_count': 40, 'listed_count': 0}",False,1.5357722560177807e+18,sogproject,System,@lorenzolight+1,https://pbs.twimg.com/profile_images/1473456207050461188/3_SwVf-Q_normal.jpg,2016-09-20T19:30:17.000Z,
