possibly_sensitive,lang,id,text,public_metrics,author_id,created_at,in_reply_to_user_id,withheld
False,en,1536041012849692675,"The bright side.  A Sunday under the sun. The Parisians are out for a walk in the Bois de Vincennes.  The backstage.  At 50 meters the streets are strewn with waste.😭
#Paris https://t.co/jKc0eDIH6i","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1379526403578806280,2022-06-12T17:41:30.000Z,,
False,fr,1536040869312200704,"Martine Franck. 
Henri Cartier-Bresson dessinant un autoportrait 
1992  #Paris https://t.co/vpnvxyeE2U","{'retweet_count': 1, 'reply_count': 0, 'like_count': 8, 'quote_count': 0}",875280010877296640,2022-06-12T17:40:56.000Z,,
False,und,1536040769630388227,"Мир Украине, свободу России. #paris #standwithukraine #russielibertés #нетвойне #свободуроссии @ Place de la Bastille, Paris. https://t.co/lZUx1ISidV","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1519399318557532167,2022-06-12T17:40:32.000Z,,
False,fr,1536040742434521088,"C'est un établissement pluridisciplinaire né de la volonté du président Georges Pompidou, grand amateur d'#art moderne, de créer au cœur de #Paris une institution culturelle originale entièrement vouée à la création moderne et contemporaine. https://t.co/jRc6AIt1Ze","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1512584037369589761,2022-06-12T17:40:25.000Z,1.5125840373695898e+18,
False,und,1536040680367210498,"#NowPlaying #Africanism @martinsolveig #house #afrohouse - #Heartbeat #radioking #bokaomw #doffouradio #bordeaux #france #paris #covid #musique #webradio #submityoursong #sendyoursong #peace #love #unity #mixité #vivreensemble #deuxièmetour

https://t.co/duzmpOV86g https://t.co/C0OfavQquc","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1390289676695654401,2022-06-12T17:40:11.000Z,,
False,en,1536040666341449732,Arc de thriumphe Paris #reisen #ausflug #paris #frankreich #arcdetriomphe #ausblick #sehenswürdigkeit https://t.co/2nfKVehYIg,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1506747906732310532,2022-06-12T17:40:07.000Z,,
False,de,1536040374656966658,#Rüstungsmesse in #Paris: #Rheinmetalls neuer #Kampfpanzer ist auch eine Botschaft an #Russland https://t.co/fOwaXP2Ro6 via @welt,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",50013926,2022-06-12T17:38:58.000Z,,
False,fr,1536040281434378240,"cc qui veut bien échanger des places en gradin contre des places en fosse pour le concert d’olivia 
vous pouvez me dm svp merci ;) 
#oliviarodrigo #paris #21juin","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1381658577031593987,2022-06-12T17:38:35.000Z,,
False,en,1536039627198455811,Tweeting from the primary @the_atlp Paris residential all next week. Bienvenue mes amie 😎#paris,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1062260872708530177,2022-06-12T17:36:00.000Z,,
False,ar,1536039406418771977,"كادر متخصصين في كل التخصصات 
✨✨🌟✨🌟
 سرعه في الحل درجات مضمونه 
حل اختبارات وحل اسايمنت و بروجكت
وحل واجبات
  وعمل تلخيص بوربوينت
#london #america #Pakistan #Queen #paris #ARMY #gorgeous #Jungkook #iPhone #Hobi #tiktok #Jisoo
للتواصل عبر الواتس👇
https://t.co/bYuCiTsq8n","{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1412953469741408258,2022-06-12T17:35:07.000Z,,
