public_metrics,author_id,lang,id,possibly_sensitive,created_at,text
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1336381759,en,1536022875253129218,False,2022-06-12T16:29:26.000Z,#Washington Twp 76 Fire Page Received at 12:29. https://t.co/PErUjsmN3P
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1073812246537609216,en,1536022526102487041,False,2022-06-12T16:28:02.000Z,"#Washington #Nationals: Put a Curly W in the books!... 
 
https://t.co/pHscrgTLy1
 
#Baseball #DC #MajorLeagueBaseball #MLB #MLBNationalLeague #MLBNationalLeagueEast #WashingtonNationals https://t.co/v9qPBHWdEk"
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",876248072698900480,en,1536021007609241607,False,2022-06-12T16:22:00.000Z,"How to save money at Traxx Indoor Raceway in Mukilteo, Washington. #mukilteo #snohomish #seattle #gokart #everett #everettwa #karting #edmonds #snohomishcounty #racing #pnw #everettwashington #washington #gokarting https://t.co/aRk0FNVhXv https://t.co/K1XeEqHtH2"
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",147246476,es,1536020592910016520,False,2022-06-12T16:20:21.000Z,"ACTIVISTAS EN WASHINGTON APOYAN CONTROL DE ARMAS

#Estadounidenses #reclaman que se aprueben leyes que regulen las armas en “Marcha por Nuestra Vidas” realizada en #Washington.

#HilandoFinoTV #HilandoFinoRedes #viral 

https://t.co/tR78Mr2qLr"
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",4684454348,en,1536020271592873985,False,2022-06-12T16:19:05.000Z,"Check out some of the recent activity from our office.
If you're wondering if now is a good time to sell, get started with a free home valuation: Link in Bio
#homesold #mercerisland #midcenturyhomes #washington #johnlscott #realestate #jlsmercerisland #johnlscottmercerisland https://t.co/wu7O1yy9qt"
"{'retweet_count': 2, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",1242435333628796929,en,1536020087882276869,False,2022-06-12T16:18:21.000Z,"I am so happy to announce that the opportunity for two new #support groups in #Concord, #Washington has arrived! 

The groups will be every Monday will start as soon as we have enough numbers so DM today to register your interest. https://t.co/Wvom7RrNDE"
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2855329598,en,1536020071323082753,False,2022-06-12T16:18:17.000Z,https://t.co/blWTya1ymU Sharing Views.12 #sufragista #WashingtonDC #Washington #feminista #oldpics #blackandwhite #feminismo #womeninhistory #historia #History #eeuu #usa #mujeres #mujereslibres #lucha #MemoriaHistorica #Metooindia
"{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 1}",47941897,en,1536019253295517701,False,2022-06-12T16:15:02.000Z,"❌divide and conquer 
as #Washington zio puppets demons like @SecBlinken   destroyed #Syria #Iraq #Libya #Ukraine   
they trying best to destroy another #Russian ally #Venezuela 

#cia men Guaidoe  cant even enter working class barrio
https://t.co/sDEAJZShsE https://t.co/HJIltKg1Ob"
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",1492943941116870658,en,1536019187755372547,False,2022-06-12T16:14:46.000Z,"Washington Post dismisses reporter in middle of online battle
#Washington #FeliciaSonmez #Telegraph #TheDailyMail #Felicia #Newsmax #BBCNews #Terra_Luna #Termination #LeMans24 #USA #FacetheSun #Facebook #instagram #twitch #twitchstreamer 

https://t.co/bziAtJpVno"
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",742454641905020929,en,1536018958804983809,False,2022-06-12T16:13:52.000Z,Offering thoughts and prayers for #Kahlotus #Washington - #PrayForKahlotus
