verified,description,protected,url,public_metrics,created_at,location,profile_image_url,pinned_tweet_id,name,id,username
False,Numéro 1 Mondiale en qualités #OnLyGoodVibes industrie140@icloud.com #PYTHON 🐍exotiques N’hésitez pas exocey vos #Dreams🧞‍♂️,False,https://t.co/o5Jr9k3GQr,"{'followers_count': 91, 'following_count': 221, 'tweet_count': 78839, 'listed_count': 18}",2016-12-25T19:59:51.000Z,Siège 19 rue muller Paris,https://pbs.twimg.com/profile_images/1522933767551299584/ipUew9Qb_normal.jpg,1523573740713709570,HighLevelsLeaderships🌍Directeur 🇫🇷,813112037635223554,industry140
False,,False,,"{'followers_count': 76, 'following_count': 1267, 'tweet_count': 22, 'listed_count': 1}",2021-07-29T09:46:25.000Z,,https://pbs.twimg.com/profile_images/1507918012149501955/rOFspFgg_normal.jpg,,AarojassajoraA,1420682034729656327,ManuelAarnRoja2
False,صبرك ياوطني الجريح ستفرج بإذن الله وطن لم تحميه لان تستحق العيش فيه(اخواني وخواتي المتابعين تابعني اتابعك لجل الوطن اليمن غالي),False,,"{'followers_count': 752, 'following_count': 1022, 'tweet_count': 4958, 'listed_count': 0}",2019-04-28T00:38:53.000Z,,https://pbs.twimg.com/profile_images/1132079628783370241/-8o5m8Mi_normal.jpg,,جاسم,1122299109854019585,2W9r9yDMq0epYYt
False,,False,,"{'followers_count': 14, 'following_count': 208, 'tweet_count': 1, 'listed_count': 0}",2022-04-28T12:21:02.000Z,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,Idowu Adesoji,1519652428219568134,SojiIdowu06
False,Giang hồ tu be,True,,"{'followers_count': 0, 'following_count': 26, 'tweet_count': 0, 'listed_count': 0}",2022-05-15T17:22:31.000Z,,https://pbs.twimg.com/profile_images/1525889378484371456/w5kn9aCV_normal.jpg,,Hut Ho van,1525889297907593218,hutakak
False,"Mechanical Engg student in love with Web3 ❤️
Freshman Graduate @LearnWeb3DAO
21 
Malayali🌴
Christian ✝️
he/him
I'M A NEWBIE, APOLOGIES FOR DUMB QUESTIONS",False,,"{'followers_count': 248, 'following_count': 1952, 'tweet_count': 8343, 'listed_count': 5}",2018-04-15T07:05:02.000Z,MetaVerse,https://pbs.twimg.com/profile_images/1435177501899182080/Trxae2nF_normal.jpg,1493624564865060866,Jackson💜ᵂᴬᴳᴹᴵ | Web3 Learn + Buildoooorrr,985413671236112385,0xchackochan
False,H,False,,"{'followers_count': 0, 'following_count': 115, 'tweet_count': 5, 'listed_count': 1}",2022-02-01T16:55:19.000Z,,https://pbs.twimg.com/profile_images/1488556581822210050/gpLj1Sq8_normal.jpg,,Ankur Yadav,1488555935773564931,AnkurYa85351096
False,,False,,"{'followers_count': 12, 'following_count': 218, 'tweet_count': 362, 'listed_count': 0}",2018-12-13T20:42:21.000Z,India,https://pbs.twimg.com/profile_images/1391785123666821121/yTaaUBIF_normal.jpg,1423988934393024512,Akash Sharma,1073317220086886402,akashmii_
False,BE HAPPY AND ENJOY 😉 ❤,False,,"{'followers_count': 0, 'following_count': 44, 'tweet_count': 0, 'listed_count': 0}",2022-05-15T06:19:49.000Z,,https://pbs.twimg.com/profile_images/1525722604535009284/D94lWpxt_normal.png,,Lehlohonolo Moshoeshoe,1525722494312796160,Lehloho83934308
False,I am leize,False,,"{'followers_count': 39, 'following_count': 1963, 'tweet_count': 70, 'listed_count': 0}",2022-04-29T20:31:06.000Z,gulshan dhaka ,https://pbs.twimg.com/profile_images/1521904844222926848/Ta-j0tSg_normal.jpg,,Juwellrb lrb,1520137932568678400,juwellrb
False,"CTO @Hamava_if Innovation Platform

قطره‌ای از باده‌های آسمان",False,https://t.co/DQk3aK9eAn,"{'followers_count': 3886, 'following_count': 1868, 'tweet_count': 23323, 'listed_count': 29}",2007-04-03T05:57:44.000Z,"🛫Kerman, 🛬Tehran",https://pbs.twimg.com/profile_images/1283273695948091392/qIX8j1mc_normal.jpg,1524354093812109312,جاويد,3291251,jaavid
False,开开心心。,True,,"{'followers_count': 63, 'following_count': 3871, 'tweet_count': 55, 'listed_count': 0}",2013-11-19T13:47:28.000Z,,https://pbs.twimg.com/profile_images/1280539038395494406/Okg6_wC8_normal.jpg,,jinzaizhichi,2203139857,jinzaizhichi
False,Building @CerritusCoders | @MLHacks Fellow Summer'22  | @GitHub Campus Expert Trainee 🚩 | Sophomore 🏫 | Mentor | Open Source,False,,"{'followers_count': 55, 'following_count': 154, 'tweet_count': 688, 'listed_count': 0}",2018-08-12T11:30:30.000Z,Mumbai,https://pbs.twimg.com/profile_images/1523357123060531200/Cc-AVY6__normal.jpg,1522880917194166274,Dhiraj Chauhan,1028604636691750912,cdhiraj40
False,윤석열 대통령 퇴임 카운터입니다. (예정),False,,"{'followers_count': 0, 'following_count': 1, 'tweet_count': 3, 'listed_count': 0}",2022-05-13T18:16:11.000Z,,https://pbs.twimg.com/profile_images/1525184340681891840/t8kWvuSF_normal.jpg,1525250940277645313,윤석열 퇴임 카운터,1525178001939320832,GyongCountDown
False,,True,,"{'followers_count': 0, 'following_count': 29, 'tweet_count': 1, 'listed_count': 0}",2022-05-15T15:03:58.000Z,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,Tg,1525854440648896512,Tg32777722
False,🏴‍☠️,False,,"{'followers_count': 2, 'following_count': 205, 'tweet_count': 20, 'listed_count': 0}",2020-02-05T14:30:21.000Z,,https://pbs.twimg.com/profile_images/1525828416376741888/BDk3kbEP_normal.jpg,1525838611509575681,STOP 🏴‍☠️,1225063995905843201,StopTm
False,"Web developer, Graphics designer, vediographer",False,https://t.co/Z8ubgNieH8,"{'followers_count': 431, 'following_count': 868, 'tweet_count': 4353, 'listed_count': 4}",2015-12-26T15:43:10.000Z,"Rongo, Kenya",https://pbs.twimg.com/profile_images/975842118907416581/cyWAb7Xz_normal.jpg,1524320260966518786,Onyango Don Omondi,4612131269,tk_omondi
False,,False,,"{'followers_count': 99, 'following_count': 892, 'tweet_count': 182, 'listed_count': 7}",2012-08-05T06:24:00.000Z,,https://pbs.twimg.com/profile_images/1505972475611344898/SYprhnSZ_normal.jpg,,salman pary,738111926,SalmanPary
False,,False,,"{'followers_count': 0, 'following_count': 6, 'tweet_count': 3, 'listed_count': 0}",2022-03-15T19:17:36.000Z,,https://pbs.twimg.com/profile_images/1503812678359388164/K1PiOeFk_normal.png,,Ukeme Idongesit Okon,1503812476558786565,IdongesitUkeme
False,"if the house is a Rockin,
Don't bother Knockin.
Just come on in...

Catfish will be fried.",False,,"{'followers_count': 1245, 'following_count': 3326, 'tweet_count': 17036, 'listed_count': 1}",2017-01-18T11:43:06.000Z,Present,https://pbs.twimg.com/profile_images/1475856448563339264/9VDHixR2_normal.jpg,1429246924985708550,Rockin' Vegas,821684337041178624,DomJuan63892351
False,"Développeur / Devops 
Robot d'après @MatthDes
#FiersDeVoterZemmour",False,,"{'followers_count': 941, 'following_count': 1261, 'tweet_count': 6635, 'listed_count': 0}",2021-09-30T17:54:39.000Z,,https://pbs.twimg.com/profile_images/1509323293551116296/FSb22l8-_normal.jpg,1517687043912048646,🇫🇷 Mel Florance ⓩ,1443635352946761732,carb0ne14
False,Partner @He4rtDevs,False,,"{'followers_count': 563, 'following_count': 1885, 'tweet_count': 3862, 'listed_count': 2}",2009-11-28T09:41:38.000Z,,https://pbs.twimg.com/profile_images/1480947506930409486/1A8rl9cg_normal.jpg,1357947928149700609,Grande,93153252,grandehe4rt
False,"ان الله معى ❤❤

zamalek ❤❤
https://t.co/ItmAJn0SnR

@hamksha98",False,,"{'followers_count': 336, 'following_count': 1078, 'tweet_count': 638, 'listed_count': 0}",2015-09-18T18:24:50.000Z,"أسيوط, مصر",https://pbs.twimg.com/profile_images/1522376118883565568/xV5_fWdJ_normal.jpg,1518033329890766848,hamada 🇱🇻,3699057197,MidoMidozama
False,"Full-Stack Software Engineer 🧑‍💻

Frontend Lead at Corzzofit | Retro and 80s lover | Tea not Coffee ☕",False,,"{'followers_count': 67, 'following_count': 97, 'tweet_count': 558, 'listed_count': 1}",2015-06-11T19:43:44.000Z,"Malaga, Andalusia",https://pbs.twimg.com/profile_images/1444798560332140550/UZU8J-ky_normal.jpg,1499913162472181766,Christian Smith Mantas,3319469685,Casm_101
False,,False,,"{'followers_count': 1, 'following_count': 67, 'tweet_count': 40, 'listed_count': 0}",2021-10-06T08:25:00.000Z,,https://pbs.twimg.com/profile_images/1445666389532897280/B6CX31sh_normal.png,,Bruce Lei,1445666275976364034,nftleaderboard
False,"Civil Engineer by mistake of youth, #SeoEngineer by vocation. #Antifascist. #Antiracist. He/Him. μολὼν λαβέ",False,https://t.co/W4ZJc84Zia,"{'followers_count': 1133, 'following_count': 4756, 'tweet_count': 852, 'listed_count': 21}",2014-03-17T21:22:48.000Z,"Agrigento, Sicilia",https://pbs.twimg.com/profile_images/1515621521212981250/gUBuVPO7_normal.jpg,,Flavio Albano,2395119998,IngegnereAlbano
False,music,False,,"{'followers_count': 28, 'following_count': 784, 'tweet_count': 324, 'listed_count': 0}",2019-03-11T00:42:00.000Z,Nigeria,https://pbs.twimg.com/profile_images/1427682731606093825/EDo411mm_normal.jpg,1361670677347135488,Naijiria Tweets,1104905275516092421,Naijiriatweets
False,,True,,"{'followers_count': 0, 'following_count': 49, 'tweet_count': 0, 'listed_count': 0}",2022-05-15T11:58:23.000Z,,https://pbs.twimg.com/profile_images/1525807917450018818/pd3PsbUH_normal.jpg,,Muhammad Iktear,1525807670602735616,muhammad_iktear
False,Indian Artist | Influencer 🌟 ❣️ 🔥,False,https://t.co/zAUMwhYcsQ,"{'followers_count': 1117, 'following_count': 24, 'tweet_count': 20, 'listed_count': 0}",2018-02-23T02:57:56.000Z,India,https://pbs.twimg.com/profile_images/1475827699444633600/CWuQ-d9g_normal.jpg,,Jimmi Jaiswal,966869706853400576,iamjimmijaiswal
False,CEO at yellowsea petreloum & Marine services company,False,,"{'followers_count': 43, 'following_count': 1359, 'tweet_count': 80, 'listed_count': 2}",2020-12-10T19:05:54.000Z,,https://pbs.twimg.com/profile_images/1523950768008613888/px7A0Do7_normal.jpg,,Islam Qoptan,1337111217333297156,IQoptan
False,"Interested in #techjobs shared by Sheffield firms? Follow us if you're looking for new opportunities! For tech news, meetups and events, follow @SHFDigital too.",False,https://t.co/yQidEDhmEr,"{'followers_count': 14, 'following_count': 1, 'tweet_count': 3, 'listed_count': 1}",2015-10-19T15:27:22.000Z,Sheffield,https://pbs.twimg.com/profile_images/1512438720456282119/z55dQ6UE_normal.jpg,1512434043954118657,SHFDigitalJobs,3995423992,SHFDigitalJobs
False,العظماء لايصقطون اللى بالخيانه,False,https://t.co/1SZ00COrVu,"{'followers_count': 47, 'following_count': 1340, 'tweet_count': 9, 'listed_count': 0}",2021-10-29T05:04:06.000Z,الامارات العربية المتحدة,https://pbs.twimg.com/profile_images/1502841312105558025/ERauxQk3_normal.jpg,1510237295261241346,🇦🇪Lost🇦🇪,1453950510067716098,Losr_211
False,"Building early stage products – Previously, founding member of @Twitter and Co-founder and CTO of Amen",False,https://t.co/Sit2SQioea,"{'followers_count': 3056, 'following_count': 1531, 'tweet_count': 3981, 'listed_count': 169}",2008-07-10T13:08:39.000Z,"Berlin, Germany",https://pbs.twimg.com/profile_images/1480638300163612681/jWHWvp0r_normal.jpg,1519210381603917824,Florian Weber,15377125,csshsh
False,,False,,"{'followers_count': 422, 'following_count': 1322, 'tweet_count': 171, 'listed_count': 0}",2021-11-18T03:29:49.000Z,,https://pbs.twimg.com/profile_images/1461174780355174400/eIWjkOtq_normal.png,,BASHIR AHMED Khan,1461174427253542914,BASHIRA36116873
