url,username,created_at,description,profile_image_url,protected,verified,name,public_metrics,id,location,pinned_tweet_id
,romamcallister,2022-06-12T22:43:33.000Z,a live moodboard for the ppl who get my vibe,https://pbs.twimg.com/profile_images/1536122850322415617/I3FGPrcg_normal.jpg,False,False,dani,"{'followers_count': 0, 'following_count': 150, 'tweet_count': 29, 'listed_count': 0}",1536116954854920192,,
,Sissi785,2020-08-05T11:28:05.000Z,,https://pbs.twimg.com/profile_images/1355627462986788873/_54_P0O5_normal.jpg,True,False,Marie le Doucen Perro,"{'followers_count': 5, 'following_count': 340, 'tweet_count': 781, 'listed_count': 0}",1290972481872855040,"Côtes-d'Armor, Bretagne",
,BikeTignolles,2019-03-21T23:18:34.000Z,Les Batignolles -Amboise. Vélociste en herbe,https://pbs.twimg.com/profile_images/1108915535373369346/5xKX0iEn_normal.jpg,False,False,BikeTignolles,"{'followers_count': 53, 'following_count': 441, 'tweet_count': 45, 'listed_count': 0}",1108870543095279616,"Paris, France",
https://t.co/3GCUq71RKp,SHAParis8_17,2022-06-11T09:00:41.000Z,"Fondée en 1898 pour faire connaître l'histoire, les sites, les monuments et les personnages célèbres des 2 arrondissements et défendre leur patrimoine culturel.",https://pbs.twimg.com/profile_images/1535549220895264770/5sMGVCgk_normal.jpg,False,False,Société Historique et Archéologique Paris 8e & 17e,"{'followers_count': 6, 'following_count': 46, 'tweet_count': 8, 'listed_count': 0}",1535547331956842499,Paris,
,tnnblstn,2013-10-20T14:40:39.000Z,Tacere è la nostra virtù.,https://pbs.twimg.com/profile_images/1395662185859325952/cxOHtPe__normal.jpg,False,False,Étienne™,"{'followers_count': 53, 'following_count': 474, 'tweet_count': 2236, 'listed_count': 0}",1975358845,Paris,1166284391632560128
https://t.co/P1uUHgPZzr,FoodAndWineDiva,2009-03-13T15:15:12.000Z,"I'm a consultant, brand ambassador, writer, and educator. I  specialize in food, drink, lifestyle, gardening, travel & culture.",https://pbs.twimg.com/profile_images/1513224685370105864/yf-0X9nN_normal.jpg,False,False,The Food & Wine Diva,"{'followers_count': 16673, 'following_count': 16251, 'tweet_count': 180879, 'listed_count': 233}",24186792,"Washington, DC metro",1533602855914983424
,diekrausestirn,2012-07-12T13:46:02.000Z,"ressourcendusche #noeitleschwaetzer
ich war nie punk was kann ich für sie tun?",https://pbs.twimg.com/profile_images/1379094866349715460/OW6cd9P1_normal.jpg,False,False,Thorsten ach Torsten,"{'followers_count': 480, 'following_count': 3198, 'tweet_count': 65688, 'listed_count': 5}",633829005,,1534959435889659923
,on_aime_ou_pas,2021-08-17T10:15:42.000Z,,https://pbs.twimg.com/profile_images/1427578054809903128/bAOCcz-d_normal.jpg,False,False,🌺 on adore ou pas ? 🌺,"{'followers_count': 20, 'following_count': 54, 'tweet_count': 2739, 'listed_count': 0}",1427574676461662210,"Fresnes, France",
https://t.co/IlEBXKVl0y,FrancoisGERALD_,2021-09-13T13:19:09.000Z,"Journaliste,  ""La Fabrique des fake news"" (sur un programme de @BFMTV), c'est ici : https://t.co/iHCf0b4pGW 
et aussi là : https://t.co/busxUIU4pF",https://pbs.twimg.com/profile_images/1443641956912013320/EFFMtQdf_normal.jpg,False,False,François GÉRALD,"{'followers_count': 161, 'following_count': 2011, 'tweet_count': 2295, 'listed_count': 2}",1437405414581284873,"Paris, France",1516458685580652545
,PiaBraque,2022-05-29T07:13:33.000Z,,https://pbs.twimg.com/profile_images/1530866097985044481/79ZdgTCM_normal.jpg,False,False,Pia Braque 🇫🇷,"{'followers_count': 5, 'following_count': 68, 'tweet_count': 110, 'listed_count': 0}",1530809477057888261,"Paris, Frankreich",
,KNeaud,2021-11-16T08:33:39.000Z,,https://pbs.twimg.com/profile_images/1460526817778053125/HassCNHi_normal.jpg,False,False,K-No,"{'followers_count': 3, 'following_count': 78, 'tweet_count': 3, 'listed_count': 0}",1460526377472569344,,
,TFillaudeau,2016-06-20T20:18:57.000Z,,https://pbs.twimg.com/profile_images/772168265296711681/ti6XqNF6_normal.jpg,False,False,Thomas FILLAUDEAU,"{'followers_count': 20, 'following_count': 351, 'tweet_count': 28, 'listed_count': 1}",744987927684485121,"La Roche-sur-Yon, France",
https://t.co/FK147Z3OdB,BenjaminDheilly,2012-01-14T14:58:37.000Z,"Blogueur : Une Pincée d'Aventure ✍️ |
Run 🏃 Cycling 🚲 Trips 🌍 Baby trailer ⛰️ Triathlète |
10k : 37'39 / HM: 01'27'25 / Marathon (x5): 03'04'26",https://pbs.twimg.com/profile_images/1048499631150288897/QN3PnvCf_normal.jpg,False,False,Benjamin Dheilly,"{'followers_count': 17, 'following_count': 38, 'tweet_count': 0, 'listed_count': 0}",463842024,"France, Amiens",
,Maevasbn,2015-05-03T20:04:04.000Z,,https://pbs.twimg.com/profile_images/1522165781366194178/TQ4Vo7Cl_normal.jpg,True,False,Maëva,"{'followers_count': 9, 'following_count': 61, 'tweet_count': 8, 'listed_count': 1}",3231575817,,
,Ankh_KeyOfLife_,2022-04-14T10:51:15.000Z,New account | A curious person who wants to learn more about ancient civilizations.,https://pbs.twimg.com/profile_images/1519987071456317443/zPKPmO1O_normal.jpg,False,False,𓋹,"{'followers_count': 489, 'following_count': 2536, 'tweet_count': 399, 'listed_count': 0}",1514556844123082755,Ancient world,
https://t.co/6NZXb0pfd8,GregMonod,2014-03-14T20:52:28.000Z,,https://pbs.twimg.com/profile_images/1059187056029679616/SGzkKVff_normal.jpg,False,False,Greg Monod,"{'followers_count': 222, 'following_count': 1440, 'tweet_count': 15706, 'listed_count': 1}",2411080389,,
,richtschubert,2014-12-15T16:36:51.000Z,""" L'empathie, c'est ta peine dans mon coeur """,https://pbs.twimg.com/profile_images/1246370102561431552/Zck9wsB-_normal.jpg,False,False,DavideCapello,"{'followers_count': 651, 'following_count': 1687, 'tweet_count': 28514, 'listed_count': 18}",2923159343,Paris,1365187544397283329
,Marc_Nolin,2014-08-25T15:03:00.000Z,Étudiant au Bac en Histoire à l’Université Laval,https://pbs.twimg.com/profile_images/1465718119524098060/HFPoSDJe_normal.jpg,False,False,⚜️Tempus Bellator⚜️,"{'followers_count': 22, 'following_count': 423, 'tweet_count': 25, 'listed_count': 0}",2766641408,,
,caillocefr,2012-04-03T14:03:41.000Z,,https://pbs.twimg.com/profile_images/1050677982438805504/mCZi8lrq_normal.jpg,False,False,Cailloce Francois,"{'followers_count': 49, 'following_count': 332, 'tweet_count': 189, 'listed_count': 1}",544296532,,
https://t.co/fQeKkN3LxS,nicohoc,2009-06-20T18:14:51.000Z,"Metteur en scène, comédien, responsable du @theatrebligny et de la Cie Théâtrale de la Cité, pdt. du centre culturel @foranim75015 et d’ACE15 @Ace15Asso",https://pbs.twimg.com/profile_images/1107530941407379456/_FIIif2O_normal.jpg,False,False,Nicolas Hocquenghem,"{'followers_count': 123, 'following_count': 288, 'tweet_count': 471, 'listed_count': 2}",49072712,Paris (France) and more...,
,stemora20,2012-06-14T11:21:59.000Z,,https://pbs.twimg.com/profile_images/1395044231438376960/s7UVneRN_normal.jpg,False,False,Stephane MORACCHINI,"{'followers_count': 38, 'following_count': 711, 'tweet_count': 0, 'listed_count': 0}",608134917,"Ajaccio, Frankreich",
,gerarmanvuca1,2022-02-01T20:36:14.000Z,,https://pbs.twimg.com/profile_images/1488612175803523072/FHHTO_rr_normal.png,False,False,gerard manvuça,"{'followers_count': 2, 'following_count': 15, 'tweet_count': 25, 'listed_count': 0}",1488611881380196354,,
,SebCyke,2014-11-30T11:01:12.000Z,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,False,False,seb cyke,"{'followers_count': 0, 'following_count': 68, 'tweet_count': 9, 'listed_count': 0}",2899060570,,
https://t.co/B3mt8Wfg6t,DaoustLise,2014-06-01T21:32:05.000Z,"Professeure de piano, conférencière et blogueuse retraitée. Est-ce que le mot retraitée prend un « s »? 😉",https://pbs.twimg.com/profile_images/902714626927931396/aBU9A5q__normal.jpg,False,False,Lise Daoust,"{'followers_count': 391, 'following_count': 1100, 'tweet_count': 707, 'listed_count': 2}",2576149229,"Montréal, Québec",1208776687422443527
,Sailorman_Press,2018-05-01T01:11:43.000Z,"Old-style literature.
Littérature à l'ancienne.
Letteratura vecchio stile.
昔ながらの文学。",https://pbs.twimg.com/profile_images/1512516319610028035/Mlwo-mLH_normal.jpg,False,False,Sailorman Press,"{'followers_count': 8736, 'following_count': 7364, 'tweet_count': 183685, 'listed_count': 85}",991122963893313536,,1531785976321912833
,lecaldecasa,2011-02-25T08:48:38.000Z,J'appartiens à ce parti d'opposition qui s'appelle la vie. ( Honoré de Balzac ),https://pbs.twimg.com/profile_images/1482506191/image_normal.jpg,False,False,lecaldecasa,"{'followers_count': 1049, 'following_count': 3293, 'tweet_count': 5919, 'listed_count': 13}",257380496,Casablanca (Maroc),
https://t.co/GgSNGhPpVE,orguissimo,2021-05-22T11:33:41.000Z,Musique d'Orgue dans la région du Creusot,https://pbs.twimg.com/profile_images/1396067302492213249/dYVmEkuA_normal.jpg,False,False,Orguissimo (ex APMO) Le Creusot,"{'followers_count': 32, 'following_count': 171, 'tweet_count': 100, 'listed_count': 0}",1396066609484242944,"Le Creusot, France",1529504978854977544
,Yanou_disney,2017-10-12T17:12:33.000Z,空間をテーマに、フランス🇫🇷の植民地・移民・宗教について勉強してる京都の学生。専門は都市郊外ですが、パリの都市地理・フランスの植民地史/植民地の都市地理が好きです。これでも旅行アカウント。,https://pbs.twimg.com/profile_images/1056598944615141376/MBhACjHk_normal.jpg,False,False,やのゆー,"{'followers_count': 1741, 'following_count': 669, 'tweet_count': 3267, 'listed_count': 35}",918524804306681857,パリ(75) と 京都(075),1236836931809341440
,F_GTN,2012-01-08T18:38:15.000Z,,https://pbs.twimg.com/profile_images/3320939279/dfc7a14bd91473bf488acaffc64be536_normal.jpeg,True,False,F. GTN,"{'followers_count': 1, 'following_count': 2280, 'tweet_count': 0, 'listed_count': 0}",458582783,,
,Chibraltar11,2012-02-09T12:46:15.000Z,,https://pbs.twimg.com/profile_images/1187091843839905793/RAGKrtaU_normal.jpg,False,False,Jempalo,"{'followers_count': 51, 'following_count': 691, 'tweet_count': 921, 'listed_count': 2}",487503330,,
,cartospheriste,2018-01-31T09:48:27.000Z,Une carte pour les gouverner tous. Une carte pour les trouver. Une carte pour les amener tous et dans les ténèbres les lier.,https://pbs.twimg.com/profile_images/1205560021498638336/EUjxcGeA_normal.jpg,False,False,Bilbo 🗺️,"{'followers_count': 1131, 'following_count': 2101, 'tweet_count': 10371, 'listed_count': 3}",958638097641693184,"Cognac, Frankreich",
,cmiveille,2014-10-02T20:15:43.000Z,EcoTourisme,https://pbs.twimg.com/profile_images/1321140554781122568/rPrY7IMt_normal.jpg,False,False,cmi,"{'followers_count': 42, 'following_count': 2271, 'tweet_count': 15, 'listed_count': 0}",2800760668,,
,MouetteChardon,2021-04-19T17:29:47.000Z,"Le monde est un lave-linge en perpétuel mode essorage. 
(et nous sommes tous des slips lancés à 1200 tours/minute)

Tu te calmes, je pourrais être ta mère.",https://pbs.twimg.com/profile_images/1419605257873772547/qYXCDrOQ_normal.jpg,False,False,Mouette de la Villette,"{'followers_count': 848, 'following_count': 519, 'tweet_count': 6101, 'listed_count': 3}",1384197501041790980,,
,ZamaniSascha,2022-04-27T11:53:48.000Z,On reconnaît une Culture à la Grossièreté de ses traits & non à leur Finesse. Sensibilité Politique Modérée: « aut tace aut loquere meliora silentio »,https://pbs.twimg.com/profile_images/1519290967886553088/hYTFTPxH_normal.jpg,False,False,Zamani Sascha Taoufiq,"{'followers_count': 135, 'following_count': 4229, 'tweet_count': 50, 'listed_count': 0}",1519283459927298048,"Bruxelles, Belgique",
https://t.co/k5DjKUXt0N,R1sh9d1,2012-05-30T12:50:39.000Z,Consultante internationale Droits humains Diversité culturelle et Dialogue des cultures,https://pbs.twimg.com/profile_images/1526867645651464192/_aIcOZmM_normal.jpg,False,False,Arfilli Angela,"{'followers_count': 548, 'following_count': 1976, 'tweet_count': 11025, 'listed_count': 6}",594652869,Monde,
,LM_Marseille13,2013-09-08T20:45:37.000Z,Aussi petite soit elle chaque vie se respecte ...,https://pbs.twimg.com/profile_images/1530752944064405505/MOKhlVy0_normal.jpg,False,False,LM,"{'followers_count': 177, 'following_count': 1990, 'tweet_count': 3933, 'listed_count': 0}",1834352059,"Marseille, France",1390892288772030464
,D9ezone,2022-04-04T05:25:34.000Z,,https://pbs.twimg.com/profile_images/1510851048776388613/qrqbywi9_normal.png,True,False,djibril_9ezone@hotmail.fr,"{'followers_count': 0, 'following_count': 638, 'tweet_count': 0, 'listed_count': 0}",1510850544998535172,,
,leo_leitus,2020-02-25T19:04:56.000Z,Compra-venta de humo.,https://pbs.twimg.com/profile_images/1233130884825591822/3Rfe1jRn_normal.jpg,False,False,Leo,"{'followers_count': 24, 'following_count': 267, 'tweet_count': 1036, 'listed_count': 0}",1232380880859037696,,
https://t.co/O5twseP9BC,GodRage_Aonwa,2017-07-29T18:14:37.000Z,"ADHD
Designer colour-blind, pixelart, smileys, and other small images.
ゲームはMinecraft, Diablo II, Heroes of Might and Magic II.",https://pbs.twimg.com/profile_images/891363293780160512/lbbTlGRE_normal.jpg,False,False,GodRage Aonwa,"{'followers_count': 32, 'following_count': 230, 'tweet_count': 177, 'listed_count': 0}",891361334612422658,Internet,1529869771549855746
